object,view,step,envmap,psnr,ssim,lpips
Ottoman_01,00016,0,Ottoman_01_env_2,26.326256,0.8913161158561707,0.08976142853498459
Ottoman_01,00016,1,Ottoman_01_env_0,24.247501,0.8770792484283447,0.11765597760677338
Ottoman_01,00016,2,Ottoman_01_env_2,22.90269,0.8632755279541016,0.14090180397033691
Ottoman_01,00016,3,Ottoman_01_env_2,21.831104,0.84898841381073,0.16320350766181946
Ottoman_01,00016,4,Ottoman_01_env_0,20.8064,0.8322998881340027,0.1887744814157486
Ottoman_01,00016,5,Ottoman_01_env_0,19.893938,0.8132214546203613,0.2153911292552948
Ottoman_01,00016,6,Ottoman_01_env_2,19.126583,0.7926242351531982,0.23967581987380981
Ottoman_01,00016,7,Ottoman_01_env_1,16.245146,0.7248932719230652,0.310772567987442
Ottoman_01,00016,8,Ottoman_01_env_2,16.927069,0.7279884219169617,0.33236271142959595
Ottoman_01,00016,9,Ottoman_01_env_2,16.601383,0.7084898948669434,0.3608981966972351
Ottoman_01,00016,10,Ottoman_01_env_2,16.171648,0.6889472007751465,0.3944406509399414
Ottoman_01,00016,11,Ottoman_01_env_2,15.619225,0.6694793701171875,0.42467570304870605
Ottoman_01,00016,12,Ottoman_01_env_0,14.999532,0.6514248847961426,0.44817793369293213
Ottoman_01,00016,13,Ottoman_01_env_2,14.363327,0.6338837146759033,0.4676951766014099
Ottoman_01,00016,14,Ottoman_01_env_1,12.7072,0.5886231660842896,0.4958169162273407
Ottoman_01,00016,15,Ottoman_01_env_0,13.108043,0.6000359058380127,0.5033845901489258
Ottoman_01,00016,16,Ottoman_01_env_1,11.914587,0.5654491186141968,0.5168793201446533
Ottoman_01,00016,17,Ottoman_01_env_1,11.563464,0.5547948479652405,0.5255080461502075
Ottoman_01,00016,18,Ottoman_01_env_1,11.245174,0.5450479388237,0.5339087843894958
Ottoman_01,00016,19,Ottoman_01_env_1,10.938913,0.5352500677108765,0.5433531403541565
Rockingchair_01,00066,0,Rockingchair_01_env_2,30.891726,0.9854888916015625,0.020959923043847084
Rockingchair_01,00066,1,Rockingchair_01_env_0,23.173235,0.9304186701774597,0.06352633982896805
Rockingchair_01,00066,2,Rockingchair_01_env_2,20.369015,0.9162678122520447,0.07200175523757935
Rockingchair_01,00066,3,Rockingchair_01_env_2,20.169842,0.908467710018158,0.08096317946910858
Rockingchair_01,00066,4,Rockingchair_01_env_0,18.739918,0.8653122782707214,0.12018086016178131
Rockingchair_01,00066,5,Rockingchair_01_env_0,17.962276,0.823126494884491,0.1640511453151703
Rockingchair_01,00066,6,Rockingchair_01_env_2,17.120054,0.8012561798095703,0.21206676959991455
Rockingchair_01,00066,7,Rockingchair_01_env_1,15.758695,0.7496726512908936,0.2713049054145813
Rockingchair_01,00066,8,Rockingchair_01_env_2,14.64876,0.6979389190673828,0.3788336515426636
Rockingchair_01,00066,9,Rockingchair_01_env_2,13.261219,0.5894374251365662,0.5077577233314514
Rockingchair_01,00066,10,Rockingchair_01_env_2,11.997833,0.532852828502655,0.5711984634399414
Rockingchair_01,00066,11,Rockingchair_01_env_2,10.908941,0.5073625445365906,0.60892254114151
Rockingchair_01,00066,12,Rockingchair_01_env_0,9.734578,0.47767120599746704,0.6505773663520813
Rockingchair_01,00066,13,Rockingchair_01_env_2,9.004469,0.4805646538734436,0.6757869720458984
Rockingchair_01,00066,14,Rockingchair_01_env_1,8.231363,0.45763498544692993,0.7041322588920593
Rockingchair_01,00066,15,Rockingchair_01_env_0,7.6560345,0.4458518922328949,0.7234202027320862
Rockingchair_01,00066,16,Rockingchair_01_env_1,7.2039847,0.4364563226699829,0.7370983958244324
Rockingchair_01,00066,17,Rockingchair_01_env_1,6.8601303,0.42684754729270935,0.7490342259407043
Rockingchair_01,00066,18,Rockingchair_01_env_1,6.607082,0.41638872027397156,0.7554381489753723
Rockingchair_01,00066,19,Rockingchair_01_env_1,6.4053974,0.40890949964523315,0.7636497020721436
SchoolChair_01,00022,0,SchoolChair_01_env_2,20.728115,0.8985433578491211,0.08234880864620209
SchoolChair_01,00022,1,SchoolChair_01_env_0,18.276787,0.8846302032470703,0.09734725207090378
SchoolChair_01,00022,2,SchoolChair_01_env_2,21.182858,0.9157814979553223,0.07933999598026276
SchoolChair_01,00022,3,SchoolChair_01_env_2,20.962774,0.9123172760009766,0.08244740217924118
SchoolChair_01,00022,4,SchoolChair_01_env_0,18.354107,0.8827561736106873,0.1117052510380745
SchoolChair_01,00022,5,SchoolChair_01_env_0,18.60855,0.8856379389762878,0.11605477333068848
SchoolChair_01,00022,6,SchoolChair_01_env_2,20.678852,0.9083881378173828,0.10600724816322327
SchoolChair_01,00022,7,SchoolChair_01_env_1,23.170874,0.9183747172355652,0.09198913723230362
SchoolChair_01,00022,8,SchoolChair_01_env_2,19.489744,0.8745507597923279,0.1546899676322937
SchoolChair_01,00022,9,SchoolChair_01_env_2,17.411358,0.8097704648971558,0.29650765657424927
SchoolChair_01,00022,10,SchoolChair_01_env_2,15.102715,0.6554979085922241,0.49662888050079346
SchoolChair_01,00022,11,SchoolChair_01_env_2,13.494822,0.5483129620552063,0.6015188097953796
SchoolChair_01,00022,12,SchoolChair_01_env_0,12.712027,0.5373058319091797,0.6308795213699341
SchoolChair_01,00022,13,SchoolChair_01_env_2,11.969061,0.5108131170272827,0.6769528985023499
SchoolChair_01,00022,14,SchoolChair_01_env_1,11.013159,0.4969026744365692,0.7007874846458435
SchoolChair_01,00022,15,SchoolChair_01_env_0,10.356416,0.488420307636261,0.7372844815254211
SchoolChair_01,00022,16,SchoolChair_01_env_1,9.807831,0.49276718497276306,0.7381973266601562
SchoolChair_01,00022,17,SchoolChair_01_env_1,9.0641575,0.4787728786468506,0.756579577922821
SchoolChair_01,00022,18,SchoolChair_01_env_1,8.456232,0.4647897183895111,0.7722351551055908
SchoolChair_01,00022,19,SchoolChair_01_env_1,7.954994,0.4547598958015442,0.7844216823577881
SchoolDesk_01,00058,0,SchoolDesk_01_env_2,29.156542,0.972826361656189,0.016139362007379532
SchoolDesk_01,00058,1,SchoolDesk_01_env_0,23.35724,0.9342530965805054,0.04467839002609253
SchoolDesk_01,00058,2,SchoolDesk_01_env_2,24.327442,0.9301547408103943,0.04044172167778015
